"","H00908.CSI","H00909.CSI","H00910.CSI","H00911.CSI","H00912.CSI","H00913.CSI","H00914.CSI","H00915.CSI","H00916.CSI","H00917.CSI"
"2007-11-14",6899.971,5421.515,4564.482,4473.365,6458.03,4550.766,8820.434,2277.726,3217.409,3360.307
"2007-11-15",6801.48,5354.153,4496.355,4413.633,6344.03,4588.59,8736.268,2243.471,3153.115,3296.218
"2007-11-16",6768.918,5263.044,4451.25,4402.04,6310.227,4620.665,8506.178,2240.906,3135.747,3288.476
"2007-11-19",6691.5,5306.601,4510.303,4520.973,6380.669,4650.483,8254.7,2306.13,3297.8,3336.939
"2007-11-20",6710.736,5443.468,4629.474,4594.112,6455.031,4729.829,8330.434,2343.335,3316.507,3393.179
"2007-11-21",6655.953,5369.409,4585.485,4555.233,6386.16,4619.391,8172.926,2303.141,3230.207,3337.382
"2007-11-22",6416.423,5115.106,4353.871,4330.656,6113.223,4443.687,7783.749,2234.633,3235.33,3179.126
"2007-11-23",6498.373,5198.667,4464.396,4410.842,6149.146,4498.853,7923.322,2266.264,3328.722,3226.47
"2007-11-26",6413.371,5115.085,4426.783,4384.084,6183.817,4494.458,7796.637,2233.183,3318.197,3208.515
"2007-11-27",6238.174,5081.19,4392.022,4296.231,6177.131,4346.966,7579.486,2194.771,3271.84,3142.397
"2007-11-28",6153.955,4997.114,4342.303,4232.359,6079.438,4280.71,7508.187,2191.884,3189.728,3070.808
"2007-11-29",6487.403,5118.609,4524.129,4340.701,6192.779,4440.591,7920.795,2239.979,3436.333,3163.089
"2007-11-30",6297.056,4959.52,4432.731,4233.293,6103.546,4304.798,7794.294,2203.29,3411.631,3097.896
"2007-12-03",6215.931,4982.614,4417.137,4247.413,6108.078,4308.14,7987.674,2228.625,3401.514,3104.138
"2007-12-04",6282.332,5096.481,4466.71,4270.265,6145.607,4330.145,8081.55,2230.172,3430.859,3122.796
"2007-12-05",6456.298,5337.711,4571.022,4398.169,6290.799,4446.127,8260.4,2263.975,3482.742,3230.974
"2007-12-06",6483.664,5309.269,4595.913,4445.757,6329.193,4422.484,8256.743,2288.709,3448.333,3214.665
"2007-12-07",6581.807,5420.276,4654.857,4522.445,6534.664,4505.376,8303.995,2302.207,3508.472,3295.79
"2007-12-10",6711.647,5603.509,4801.434,4686.303,6696.536,4648.935,8261.598,2358.968,3594.031,3394.518
"2007-12-11",6739.83,5593.867,4889.671,4729.485,6883.072,4683.467,8127.819,2414.891,3603.275,3439.032
"2007-12-12",6689.55,5560.315,4897.425,4747.33,6930.41,4800.99,7826.77,2423.05,3577.357,3446.585
"2007-12-13",6533.383,5389.51,4704.671,4532.161,6735.308,4686.468,7554.763,2415.592,3609.54,3445.995
"2007-12-14",6416.544,5411.063,4754.591,4652.509,7194.583,4720.676,7690.619,2436.236,3590.681,3408.418
"2007-12-17",6268.624,5274.533,4724.073,4775.404,7194.952,4716.097,7247.985,2465.111,3541.514,3356.61
"2007-12-18",6196.793,5309.992,4678.88,4687.341,6982.189,4677.286,7238.305,2477.135,3494.861,3356.977
"2007-12-19",6330.419,5493.469,4779.71,4739.899,7048.996,4743.598,7421.765,2515.103,3717.393,3431.42
"2007-12-20",6587.712,5549.816,4872.213,4794.704,7121.234,4788.663,7585.106,2530.234,3740.55,3466.994
"2007-12-21",6631.905,5675.707,4982.968,4875.334,7244.563,4866.289,7605.428,2560.093,3751.644,3517.997
"2007-12-24",6820.96,5733.751,5076.166,4964.344,7351.122,5023.401,7788.256,2579.155,3922.293,3602.433
"2007-12-25",6759.614,5830.598,5116.672,5019.888,7467.37,5023.66,7684.145,2612.906,3960.392,3622.27
"2007-12-26",6822.924,5914.223,5160.258,5109.066,7600.933,5135.832,7663.583,2666.767,3976.541,3711.389
"2007-12-27",6928.479,5989.909,5217.231,5129.712,7647.944,5150.745,7917.015,2690.147,4294.477,3792.798
"2007-12-28",6818.792,5967.787,5187.035,5092.782,7692.813,5098.674,7911.162,2670.339,4235.48,3744.4
"2008-01-02",6750.434,5996.097,5287.683,5256.97,7721.728,5340.708,7921.619,2775.926,4287.276,3805.393
"2008-01-03",6864.046,6189.282,5367.379,5316.932,7678.235,5382.296,7788.768,2827.046,4135.123,3893.139
"2008-01-04",6905.911,6279.369,5401.321,5286.453,7700.032,5368.38,7979.935,2794.983,4189.366,3910.697
"2008-01-07",7010.773,6345.211,5486.433,5306.771,7684.769,5442.157,8146.639,2838.555,4218.641,3926.587
"2008-01-08",7023.136,6323.273,5395.479,5232.128,7648.586,5259.819,8206.654,2759.226,4158.129,3842.649
"2008-01-09",7137.666,6512.484,5468.466,5323.109,7729.104,5340.219,8287.473,2793.537,4185.752,3888.282
"2008-01-10",7200.29,6630.114,5486.112,5370.776,7813.92,5300.365,8374.562,2776.999,4474.634,3887.543
"2008-01-11",7139.259,6559.676,5481.329,5359.693,7760.449,5204.722,8648.643,2751.181,4491.416,3827.987
"2008-01-14",7109.938,6624.455,5518.131,5434.37,7945.462,5270.268,8664.652,2835.86,4541.289,3819.887
"2008-01-15",7026.711,6661.588,5518.111,5481.991,7970.745,5284.719,8458.624,2831.551,4502.387,3864.055
"2008-01-16",6878.557,6408.427,5386.156,5375.642,7819.582,5352.989,8030.999,2817.665,4371.725,3729.638
"2008-01-17",6659.115,6166.292,5206.113,5277.536,7548.863,5329.41,7906.658,2853.302,4526.631,3581.446
"2008-01-18",6715.771,6207.638,5249.813,5343.946,7541.049,5337.489,7936.82,2971.782,4683.665,3682.674
"2008-01-21",6415.591,5871.264,5037.527,5121.145,7230.103,5119.573,7446.279,2870.731,4540.958,3516.724
"2008-01-22",5894.83,5451.617,4627.461,4729.436,7004.026,4679.583,6865.742,2647.05,4130.016,3227.131
"2008-01-23",6110.892,5728.637,4847.328,4997.999,7451.216,5022.701,7115.26,2774.504,4531.588,3373.856
"2008-01-24",6228.526,5747.406,4934.156,5059.259,7599.069,5132.736,7112.623,2845.922,4693.514,3426.798
"2008-01-25",6242.992,5784.097,4920.213,5068.834,7469.02,5108.953,7362.07,2811.462,4703.761,3433.649
"2008-01-28",5930.556,5367.266,4558.483,4744.709,7048.732,4794.747,6829.382,2666.565,4431.029,3152.045
"2008-01-29",5952.271,5402.353,4585.78,4773.374,7113.512,4873.381,6848.393,2714.835,4451.332,3221.635
"2008-01-30",5790.52,5435.369,4587.497,4768.069,7121.989,4876.645,6659.307,2648.882,4369.051,3235.139
"2008-01-31",5638.274,5360.275,4492.699,4633.121,6862.621,4699.301,6624.28,2522.527,4187.606,3137.314
"2008-02-01",5597.2,5248.136,4415.388,4530.352,6650.723,4573.325,6714.057,2384.775,4132.126,3026.606
"2008-02-04",6064.796,5713.011,4766.569,4884.087,7118.739,4960.352,7282.859,2584.269,4483.964,3258.93
"2008-02-05",5908.63,5729.46,4766.343,4869.324,7073.917,4922.557,7190.875,2605.284,4461.476,3318.6
"2008-02-13",5775.726,5607.358,4706.318,4798.972,6959.085,4856.712,6941.517,2584.551,4400.408,3323.004
"2008-02-14",5850.589,5688.337,4783.279,4878.688,7005.563,5020.037,7011.284,2617.697,4494.636,3363.786
"2008-02-15",5728.565,5671.167,4717.774,4835.832,6917.085,4974.18,6847.874,2567.329,4573.967,3340.127
"2008-02-18",5792.417,5766.985,4822.263,4978.964,7087.339,5155.201,6994.716,2647.999,4674.573,3378.4
"2008-02-19",5966.075,5948.354,4928.758,5086.137,7198.645,5256.03,7120.567,2720.943,4693.794,3435.172
"2008-02-20",5885.357,5903.472,4850.486,5018.291,7196.125,5211.269,6787.364,2665.19,4527.472,3401.126
"2008-02-21",5890.832,5971.825,4800.045,5048.339,7165.752,5290.376,6615.496,2700.63,4480.801,3376.728
"2008-02-22",5637.316,5801.88,4635.403,4950.519,6936.288,5156.747,6291.704,2679.626,4366.457,3281.706
"2008-02-25",5283.062,5629.907,4446.627,4767.367,6717.732,5031.575,6063.077,2616.221,4024.313,3171.498
"2008-02-26",5237.198,5530.65,4461.808,4700.136,6557.756,4939.919,6187.597,2592.678,3853.062,3231.822
"2008-02-27",5358.735,5645.678,4579.367,4795.609,6802.138,5014.243,6401.15,2671.542,3931.826,3339.676
"2008-02-28",5327.151,5713.144,4548.438,4763.977,6763.798,5024.591,6347.973,2673.219,3828.096,3305.136
"2008-02-29",5351.629,5745.461,4623.793,4828.035,6888.353,5057.422,6427.23,2720.612,3872.027,3342.857
"2008-03-03",5471.197,5882.131,4740.04,4950.727,7302.5,5260.672,6537.791,2807.963,3940.801,3455.812
"2008-03-04",5364.506,5767.204,4647.516,4893.653,7323.597,5161.318,6235.944,2786.358,3825.212,3400.198
"2008-03-05",5256.829,5622.039,4581.798,4892.685,7289.329,5215.85,6240.559,2807.405,3871.441,3388.892
"2008-03-06",5326.48,5684.226,4641.245,4943.224,7270.597,5161.804,6370.326,2802.672,3847.808,3403.089
"2008-03-07",5296.436,5621.179,4576.756,4853.945,7155.788,5056.919,6290.208,2736.959,3732.205,3341.23
"2008-03-10",5121.978,5370.364,4386.57,4665.138,6949.329,4858.883,5991.623,2622.193,3573.506,3253.55
"2008-03-11",5255.666,5341.998,4389.26,4634.241,7050.573,4902.407,5985.814,2655.493,3511.405,3284.953
"2008-03-12",5228.323,5211.394,4241.85,4480.377,6904.934,4715.292,5758.297,2573.394,3345.703,3180.609
"2008-03-13",5281.403,5001.823,4049.814,4327.66,6701.264,4585.192,5659.6,2516.601,3556.479,3049.862
"2008-03-14",5252.38,4984.819,3988.018,4271.925,6633.401,4465.65,5603.371,2482.062,3473.996,3027.524
"2008-03-17",5046.862,4678.813,3731.9,3978.521,6266.818,4148.748,5534.137,2275.141,3359.947,2819.779
"2008-03-18",4835.152,4416.774,3496.203,3716.571,5822.369,3901.543,5355.836,2130.119,3265.119,2621.411
"2008-03-19",4930.372,4569.978,3607.359,3826.523,6001.164,4071.244,5562.574,2216.353,3318.671,2727.067
"2008-03-20",4883.368,4697.538,3742.849,3980.595,6164.639,4219.909,5757.161,2284.027,3419.627,2821.334
"2008-03-21",4829.12,4865.707,3787.561,4049.104,6176.776,4234.783,5740.174,2301.584,3456.284,2842.101
"2008-03-24",4610.292,4633.398,3630.539,3906.393,5997.349,4130.131,5407.253,2238.467,3412.603,2766.469
"2008-03-25",4526.36,4709.667,3717.057,3962.785,5986.55,4116.736,5508.431,2266.534,3443.068,2792.103
"2008-03-26",4536.977,4721.925,3712.455,3964.706,5930.757,4083.623,5544.821,2255.214,3474.645,2800.052
"2008-03-27",4247.875,4472.214,3537.601,3785.216,5692.223,3842.188,5434.893,2131.198,3304.319,2638.429
